# Layer-2 SF6 industrial point sources. Pull date 2026-06-03.
# US = EPA GHGRP (Envirofacts); EU = E-PRTR via EEA discodata [IED].[latest], SF6/AIR.
# GAP: China (~57% of global SF6) and most of Asia have no facility-level reporting.
facility_name,country,lat,lon,sf6_tonnes_yr,year,source_dataset,sector,notes
CENTRAL BI-PRODUCTS - REDWOOD FALLS,US,44.57046,-95.11507,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TEXAS INSTRUMENTS NORTH CAMPUS,US,32.93311,-96.7537,1.7,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"CIE Norfolk GNS, LLC",US,42.06672,-97.3815,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"POET Biorefining Shell Rock, LLC.",US,42.7363,-92.6174,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
INTEL CORPORATION - RIO RANCHO FACILITY,US,35.23133,-106.65608,0.596,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
INTEL CORPORATION RONLER ACRES CAMPUS,US,45.501476,-122.91696,0.841,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
FLINT HILLS RESOURCES LLC - FAIRBANK ETHANOL PLANT,US,42.636667,-92.022778,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"BONANZA BIOENERGY, LLC",US,37.958639,-100.836,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
GRAIN PROCESSING CORP,US,41.3981,-91.0611,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
SMITHFIELD FRESH MEATS CORP-SMITHFIELD,US,36.9825,-76.6175,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
SIMMONS FOODS INC-SOUTHWEST CITY,US,36.543164,-94.583079,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
CAMPBELL SOUP COMPANY (0335010105),US,41.412452,-84.143514,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"JBS SOUDERTON, INC. - RENDERING FACILITY",US,40.283058,-75.341965,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
CHS-Rochelle,US,41.89246,-89.03439,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
GLOBALFOUNDRIES US2 LLC East Fishkill Facility,US,41.539703,-73.822454,0.327,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"MICRON TECHNOLOGY, INC.",US,43.5268,-116.1449,0.164,2021,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
GREEN PLAINS SHENANDOAH LLC,US,40.7549,-95.3953,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
TROPICANA MANUFACTURING CO INC,US,27.487024,-82.551166,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
INTEL CORPORATION - Ocotillo Campus,US,33.24549,-111.88068,0.926,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
GE GLOBAL RESEARCH CENTER,US,42.82634,-73.878818,0.028,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
GRAIN PROCESSING CORP,US,38.6335,-87.2262,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
LINCOLNLAND AGRI-ENERGY LLC,US,39.004293,-87.631325,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Hankinson Renewable Energy, LLC",US,46.073186,-96.886775,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
LINEAR TECHNOLOGY CORP,US,45.598844,-122.45232,0.162,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
NUGEN ENERGY LLC,US,43.433852,-97.260926,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
EAST KANSAS AGRI-ENERGY,US,38.271522,-95.237414,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
WE HEREFORD LLC,US,34.821895,-102.370362,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
SUNOCO FULTON ETHANOL PLANT,US,43.299,-76.381,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
"Alto ICP, LLC",US,40.556501,-89.666235,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
MICROCHIP TECHNOLOGY INC,US,45.51911,-122.44906,0.345,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Interstate Paper LLC dba DSSmith Riceboro,US,31.741967,-81.406692,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,II,TT"
TYSON FARMS INC - TEMPERANCEVILLE,US,37.885,-75.555278,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Tyson Farms, Inc/ Cuthbert Plant",US,31.770486,-84.781229,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
BEAR ISLAND PAPER COMPANY LLC,US,37.8181,-77.4375,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Marquis Energy - Wisconsin, LLC",US,43.99187,-90.07219,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
AL CORN CLEAN FUEL,US,44.049412,-93.017379,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
WESTERN NEW YORK ENERGY LLC,US,43.21022,-78.37004,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
AGRI ENERGY LLC,US,43.648333,-96.224444,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Green Plains Lakota LLC,US,43.38391,-94.14706,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ABERDEEN ENERGY LLC,US,45.442417,-98.787139,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
HUSKER AG L L C,US,42.3512,-97.70688,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
MARQUIS ENERGY LLC,US,41.27533,-89.33123,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
