kg,local_id,ns,country,year,name,lon,lat,activity
140.0,10743.FACILITY,FR.CAED,FR,2019,LIBERTY ALUMINIUM DUNKERQUE,2.22,51.00109999947513,2(e)(i)
141.0,EW_EA-68.FACILITY,UK.CAED,GB,2012,Indian Queens Power Ltd,-4.899750000000001,50.39560999947286,1(c)
142.0,EW_EA-3226.FACILITY,UK.CAED,GB,2007,"Philips Electronics Uk Ltd, Philips Semiconductors",-2.1423093,53.37661999948626,4(b)
143.0,070461002.FACILITY,IT.CAED,IT,2014,STABILIMENTO VERSALIS DI PORTO TORRES,8.375833,40.83194399946863,4(a)
143.0,EW_EA-1433.FACILITY,UK.CAED,GB,2018,Immingham CHP Power Station EPR/BJ8022IZ,-0.23947463,53.63656099948769,1(c)
144.0,50000214,https://registry.gdi-de.org/id/de.he.0945.DE7.pf.EU_Industrie,DE,2007,"Volkswagen AG,  Werk Kassel Volkkswagen AG, Werk Kassel",9.4386897017038,51.25436262426585,2(e)(ii)
144.0,670512002.FACILITY,IT.CAED,IT,2016,LFoundry S.R.L.,13.425833,41.99638799946595,9(c)
147.0,670512002.FACILITY,IT.CAED,IT,2010,MICRON TECHNOLOGY ITALIA S.R.L.,13.425833,41.99638799946595,1(c)
147.0,pf-450-7047053-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2013,Solvay Fluor GmbH,9.17602492831967,49.22964597802314,4(b)
147.85,010141001.FACILITY,IT.CAED,IT,2018,Enel Produzione S.p.A.,11.5338,42.35889999946531,1(c)
148.0,50000214,https://registry.gdi-de.org/id/de.he.0945.DE7.pf.EU_Industrie,DE,2010,"Volkswagen AG,  Werk Kassel",9.4386897017038,51.25436262426585,2(e)(ii)
148.0,50000214,https://registry.gdi-de.org/id/de.he.0945.DE7.pf.EU_Industrie,DE,2011,"Volkswagen AG,  Werk Kassel",9.4386897017038,51.25436262426585,2(e)(ii)
149.0,8672.FACILITY,FR.CAED,FR,2018,CENTRE CEA PARIS-SACLAY - SITE DE SACLAY,2.11579,48.69514999946777,1(c)
150.0,000115066.FACILITY,NL.RIVM,NL,2009,Trespa International BV,5.651570000000001,51.2408299994761,4(a)
150.0,vl01849940000190.FACILITY,BE.EEA,BE,2014,ON SEMICONDUCTOR BELGIUM,3.5959516,50.85873999947458,2(f)
152.0,481231001.FACILITY,IT.CAED,IT,2009,CENTRALE A CICLO COMBINATO DI PORTO CORSINI,12.266111,44.48444399946322,1(c)
153.0,481231001.FACILITY,IT.CAED,IT,2010,CENTRALE A CICLO COMBINATO DI PORTO CORSINI,12.266111,44.48444399946322,1(c)
153.0,481231001.FACILITY,IT.CAED,IT,2012,CENTRALE A CICLO COMBINATO DI PORTO CORSINI,12.266111,44.48444399946322,1(c)
155.0,10743.FACILITY,FR.CAED,FR,2017,ALUMINIUM DUNKERQUE,2.22,51.00109999947513,2(e)(i)
155.0,200000201.Facility,UK.SEPA,GB,2010,Larkfield Electronics Works,-4.83438,55.94379999950224,4(b)(ii)
160.0,070461001.FACILITY,IT.CAED,IT,2012,Centrale Teromoelettrica di Fiume Santo,8.299166,40.85166599946857,1(c)
160.0,170471001.FACILITY,IT.CAED,IT,2008,Centrale Vado Ligure,8.430833,44.27666599946329,1(c)
160.0,290151001.FACILITY,IT.CAED,IT,2010,ENEL PRODUZIONE SPA - CENTRALE DI LA CASELLA,9.480333000000002,45.09088199946317,1(c)
160.0,460281001.FACILITY,IT.CAED,IT,2012,CENTRALE TERMOELETTRICA SERMIDE,11.268611,44.98305499946316,1(c)
